paper_id	strength	significance
elife-97532-v1	convincing	valuable
elife-98258-v1	convincing	useful
elife-92180-v1	compelling	important
elife-102274-v1	compelling	fundamental
elife-102538-v1	compelling	fundamental
elife-100197-v1	compelling	important
elife-97268-v1	convincing	important
elife-98427-v1	solid	valuable
elife-95398-v1	convincing	important
elife-98521-v1	convincing	important
elife-99130-v1	solid	valuable
elife-98158-v1	convincing	valuable
elife-95828-v1	compelling	important
elife-88334-v1	solid	useful
elife-98714-v1	incomplete	important
elife-97424-v1	compelling	important
elife-87092-v1	compelling	important
elife-87527-v1	convincing	important
elife-93633-v1	convincing	important
elife-98701-v1	solid	valuable
elife-99988-v1	convincing	important
elife-97577-v1	convincing	valuable
elife-97764-v1	solid	valuable
elife-86931-v1	convincing	valuable
elife-92906-v1	solid	valuable
elife-100849-v1	solid	valuable
elife-99149-v1	solid	valuable
elife-100268-v1	incomplete	important
elife-96798-v1	convincing	important
elife-98934-v1	compelling	important
elife-87078-v1	convincing	valuable
elife-104718-v1	convincing	important
elife-100989-v1	compelling	important
elife-102977-v1	solid	valuable
elife-97643-v1	solid	valuable
elife-99394-v1	compelling	valuable
elife-102852-v1	compelling	important
elife-97559-v1	compelling	fundamental
elife-94290-v1	convincing	important
elife-92635-v1	solid	important
elife-98358-v1	solid	important
elife-96573-v1	solid	important
elife-95125-v1	compelling	important
elife-94168-v1	compelling	important
elife-98353-v1	solid	useful
elife-101142-v1	convincing	important
elife-100525-v1	convincing	important
elife-98514-v1	compelling	important
elife-103504-v1	convincing	important
elife-100144-v1	incomplete	valuable
elife-88149-v1	convincing	important
elife-100664-v1	solid	valuable
elife-101736-v1	solid	important
elife-98405-v1	convincing	valuable
elife-89050-v1	solid	valuable
elife-90841-v1	compelling	important
elife-94902-v1	solid	useful
elife-91716-v1	solid	valuable
elife-88652-v1	solid	valuable
elife-94420-v1	convincing	important
elife-99642-v1	convincing	important
elife-99010-v1	convincing	important
elife-100767-v1	solid	valuable
elife-97438-v1	convincing	valuable
elife-100488-v1	compelling	valuable
elife-89506-v1	solid	useful
elife-98409-v1	convincing	valuable
elife-95485-v1	convincing	important
elife-94961-v1	incomplete	valuable
elife-99997-v1	compelling	important
elife-95273-v1	exceptional	important
elife-97865-v1	compelling	important
elife-96724-v1	convincing	important
elife-94045-v1	solid	useful
elife-102618-v1	convincing	valuable
elife-94570-v1	compelling	fundamental
elife-95842-v1	compelling	important
elife-100545-v1	convincing	important
elife-100060-v1	convincing	important
elife-100922-v1	convincing	important
elife-99696-v1	convincing	important
elife-101701-v1	incomplete	useful
elife-95411-v1	convincing	important
elife-96303-v1	compelling	important
elife-101727-v1	compelling	important
elife-101943-v1	compelling	fundamental
elife-97981-v1	solid	valuable
elife-96287-v1	solid	valuable
elife-92979-v1	compelling	important
elife-101980-v1	compelling	useful
elife-97731-v1	convincing	valuable
elife-92683-v1	solid	important
elife-93183-v1	compelling	important
elife-98742-v1	compelling	important
elife-96600-v1	solid	useful
elife-100856-v1	solid	valuable
elife-89719-v1	convincing	important
elife-93413-v1	solid	valuable
elife-92491-v1	compelling	important
elife-87522-v1	solid	valuable
elife-96784-v1	solid	valuable
elife-100928-v1	solid	important
elife-91168-v1	compelling	important
elife-95528-v1	convincing	valuable
elife-89690-v1	convincing	important
elife-100708-v1	solid	valuable
elife-95135-v1	convincing	important
elife-97179-v1	solid	important
elife-98661-v1	convincing	important
elife-93327-v1	compelling	important
elife-94825-v1	convincing	important
elife-88833-v1	incomplete	valuable
elife-98992-v1	convincing	important
elife-95944-v1	solid	valuable
elife-91422-v1	convincing	valuable
elife-88287-v1	convincing	valuable
elife-100455-v1	solid	valuable
elife-100427-v1	convincing	fundamental
elife-97017-v1	solid	valuable
elife-96317-v1	convincing	important
elife-91204-v1	convincing	fundamental
elife-95267-v1	solid	valuable
elife-96743-v1	compelling	fundamental
elife-97654-v1	convincing	important
elife-98535-v1	solid	valuable
elife-99757-v1	compelling	important
elife-98344-v1	solid	valuable
elife-97350-v1	compelling	important
elife-95988-v1	inadequate	useful
elife-102667-v1	compelling	important
elife-95106-v1	solid	important
